model,image,test_score,train_score,mean_test_score,mean_train_score
GaussianNaiveBayes,indiana,,,0.5483999290954307,0.527883936146049
GaussianNaiveBayes,salinas,,,0.8126529402111663,0.8027308527955032
OneVsOneClassifier - LinearSVC,indiana,0.6913195796029583,0.7002604166666667,0.5401854564629742,0.56246535799807
OneVsOneClassifier - LinearSVC,salinas,0.8828396247322154,0.8809617658651951,0.922378336553596,0.92110848849493
OneVsOneClassifier - SVC,indiana,0.7594394706111327,0.7782552083333333,0.6221555574382637,0.6695413040424163
OneVsOneClassifier - SVC,salinas,0.8988697643495605,0.8991673236105636,0.9380698014997028,0.9370677792135832
RandomForest,indiana,0.8182172051381861,1.0,0.7260556954953485,1.0
RandomForest,salinas,0.9414936839772475,1.0,0.9718696810431644,1.0
